"strategy","genes","s","N","gen","n_rep","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both","drag_q95","p_both_lo","p_both_hi","gain"
"bg",4,0.6,20,2,300,0.476666666666667,0.922851748731836,0.0158906074694255,0.830876463633243,287.643312101911,0.48,0,0,423,0,0.0122209746942935,0.00424445694598065
"bg",4,0.6,20,3,300,0.626666666666667,0.945452844311377,0.0124683554082757,0.890865590248075,221.875,0.373333333333333,0.01,0.01,336.75,0.00206700723509232,0.0289445112556926,0.0030737631879099
"bg",4,0.6,40,1,300,0.08,0.888912392606092,0.0183977829692695,0.731116571205415,403.605072463768,0.256666666666667,0,0,545.625,0,0.0122209746942935,0.0141794245360211
"bg",4,0.6,40,2,300,0.153333333333333,0.931956952237258,0.0143989523669806,0.845976354377858,274.891732283465,0.816666666666667,0.00333333333333333,0.00333333333333333,398.375,8.43891323178005e-05,0.0184312520480678,0.00830267193397232
"bg",4,0.6,40,3,300,0.216666666666667,0.954306281054911,0.0111144315242781,0.906163205503886,199.159574468085,0.783333333333333,0.0633333333333333,0.0633333333333333,323.25,0.0385580198283761,0.0971381966071202,0.00536861686960426
"bg",4,0.6,60,1,200,0.035,0.89491095529149,0.0163279305725775,0.74380642859359,383.795336787565,0.385,0,0,535,0,0.0182753403551362,0.0184849675187006
"bg",4,0.6,60,2,200,0.055,0.938214840160948,0.0130796626502766,0.858125019801666,253.981481481481,0.935,0.02,0.02,398,0.00547556587955645,0.0504136090898963,0.0107653582982687
"bg",4,0.6,60,3,200,0.105,0.958669253671428,0.00979317129625778,0.91270113404476,186.061452513966,0.895,0.145,0.145,296,0.0993086225552075,0.20156149617318,0.00581280077514564
"bg",4,0.6,80,1,150,0,0.89688622754491,0.0169561440221278,0.746387225548902,377.066666666667,0.44,0,0,506.375,0,0.0242925971661085,0.0219377460807102
"bg",4,0.6,80,2,150,0,0.940563872255489,0.0114673176530906,0.864181636726547,243.683333333333,1,0.0266666666666667,0.0266666666666667,363.875,0.00731254639800825,0.0668678766774894,0.0124046736973384
"bg",4,0.6,80,3,150,0,0.961631736526946,0.00817253622146027,0.919865269461078,172.516666666667,1,0.166666666666667,0.166666666666667,260.25,0.110857332017575,0.236124326540432,0.00753499224494733
"bg",4,0.6,100,1,120,0,0.899756736526946,0.0140980898293234,0.756518213572854,373,0.5,0,0,535.125,0,0.0302729725774201,0.0235105118946811
"bg",4,0.6,100,2,120,0,0.943619011976048,0.0105257361673595,0.870839570858283,245.1875,1,0.00833333333333333,0.00833333333333333,373.125,0.000210959478121709,0.045555513233593,0.013561053398254
"bg",4,0.6,100,3,120,0,0.963454341317365,0.00770915793505153,0.9249750499002,169.770833333333,1,0.158333333333333,0.158333333333333,247.75,0.0981022947405918,0.236163556028212,0.00803908821966457
"bg",4,0.6,120,1,100,0,0.901624251497006,0.0138018178174582,0.762821856287425,367.025,0.62,0,0,507.75,0,0.0362166926451765,0.0266960828384855
