"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","var_g","var_genic","regime","seed","gap"
7,8.59944348625526,0.217766388888889,0.2259932,0.225315153819444,0.0335031390591897,0.782233611111111,0.338890762868492,0.367033766624401,0.142616111111111,0.217766388888889,0.927256388888889,0.922443055555556,0.639195238989773,20,0.166321773644915,0.296171973218796,"unconstrained",8,-0.129850199573881
8,9.31984742509832,0.206705763888889,0.2169924,0.216433308680556,0.0449447677484058,0.793294236111111,0.367043106917854,0.408905692072176,0.152220069444444,0.206705763888889,0.948450277777778,0.942578333333333,0.630283162589333,19,0.156127714227082,0.214245880542337,"unconstrained",8,-0.0581181663152552
9,9.82860146522346,0.201793958333333,0.204782,0.204464685416667,0.0130620457899163,0.798206041666667,0.384060762711217,0.428062458855682,0.156756319444444,0.201793958333333,0.957770277777778,0.952154444444444,0.626404679869363,20,0.11430253136594,0.14174710461028,"unconstrained",8,-0.0274445732443405
10,10.2840868431828,0.197978402777778,0.2020388,0.201646194791667,0.0181892448686092,0.802021597222222,0.394642941234037,0.44125394958981,0.159894097222222,0.197978402777778,0.964194444444444,0.959636944444444,0.623424608179798,18,0.0769207448660696,0.111729477329292,"unconstrained",8,-0.0348087324632219
11,10.6458263461887,0.194340208333333,0.1961748,0.195907860069444,0.00800198489001629,0.805659791666667,0.406331533138599,0.450581182022454,0.164310625,0.194340208333333,0.97146,0.968480833333333,0.620609350462496,18,0.0623557521378809,0.0873094318768701,"unconstrained",8,-0.0249536797389892
12,11.088204723753,0.18969125,0.1923716,0.192148821180556,0.0127899362871775,0.81030875,0.420954603206794,0.458523029414953,0.167435138888889,0.18969125,0.975639166666667,0.979848611111111,0.617048748393745,20,0.0395019877383415,0.066206875134734,"unconstrained",8,-0.0267048873963925
0,1.37497044777657,0.320049097222222,0.3280928,0.325827530902778,0.0177346391342228,0.679950902777778,0.0256536788564564,0.0312024654653885,0.0435017361111112,0.320049097222222,0.718329166666667,0.728576111111111,0.735347211037398,12,1,1.12103664123217,"constrained",1,-0.12103664123217
1,2.9923922672759,0.308317222222222,0.3166112,0.314447460763889,0.019495271250639,0.691682777777778,0.0538961314461747,0.0773234323166305,0.0591719444444444,0.308317222222222,0.748241944444445,0.7534675,0.722874728219182,14,0.928521449036598,1.0412648463083,"constrained",1,-0.112743397271705
2,4.0649280124585,0.298700138888889,0.3060416,0.304229691666667,0.0181755855172621,0.701299861111111,0.0786788677509119,0.116246429345727,0.0707306944444445,0.298700138888889,0.784456944444444,0.759604166666667,0.71296178386207,15,0.870028546580861,0.881915649939751,"constrained",1,-0.0118871033588902
3,4.83034405921582,0.290692569444444,0.2957268,0.294061714930556,0.0114572734737222,0.709307430555556,0.101423844284131,0.145155592020274,0.0786815972222223,0.290692569444444,0.793089166666667,0.782888888888889,0.704912959403769,11,1.06137118837608,0.798949689649197,"constrained",1,0.26242149872688
4,5.98339839626417,0.282111805555556,0.289556,0.287728762152778,0.0195217070243387,0.717888194444444,0.127593580282937,0.186344585394867,0.091940138888889,0.282111805555556,0.812878055555556,0.806778611111111,0.696487285721334,14,0.91193984996036,0.73284182354924,"constrained",1,0.17909802641112
5,6.5927015658925,0.275843611111111,0.2790964,0.277689403125,0.00664696597391594,0.724156388888889,0.140196540197391,0.217956010853862,0.101783611111111,0.275843611111111,0.833414166666667,0.818465833333333,0.690458591088558,12,0.610421771035767,0.634235431035053,"constrained",1,-0.0238136599992852
6,7.76769743790853,0.265466944444444,0.270646,0.269217595486111,0.0139316712746594,0.734533055555556,0.165559034925669,0.262401038214963,0.114188888888889,0.265466944444445,0.856552777777778,0.840891111111111,0.68070455947259,18,0.598688633788904,0.553848041000831,"constrained",1,0.0448405927880734
7,8.61747115028128,0.258261180555556,0.2616044,0.260493570833333,0.00856984788774722,0.741738819444444,0.187348347313255,0.289801771754892,0.126369930555556,0.258261180555555,0.876058055555555,0.860159444444445,0.674091724597204,13,0.491933786077328,0.453732003156244,"constrained",1,0.0382017829210837
8,9.55981330760232,0.246800208333333,0.2521856,0.251319494444444,0.0179822346097791,0.753199791666667,0.221101603031608,0.325517060370234,0.136389236111111,0.246800208333333,0.893104444444444,0.886073611111111,0.663834490572029,16,0.303465748201825,0.349009015725203,"constrained",1,-0.0455432675233785
9,10.0743710513557,0.242654236111111,0.2446664,0.243866591666667,0.00497138844345127,0.757345763888889,0.229924697029603,0.342498034322768,0.139732708333333,0.242654236111111,0.896068055555556,0.898088888888889,0.660200431349287,16,0.325362812767696,0.317446034116934,"constrained",1,0.00791677865076212
10,10.6305730946608,0.2366025,0.2417836,0.241004148611111,0.0182637877251385,0.7633975,0.243915375881203,0.366573253003208,0.147485555555556,0.2366025,0.908594444444444,0.913171666666667,0.654966776810246,11,0.493128296873421,0.299968106526387,"constrained",1,0.193160190347034
11,11.284636706759,0.231136875,0.2335544,0.232908069444444,0.00760469333960502,0.768863125,0.260735714286298,0.383225957181742,0.153620347222222,0.231136875,0.925898611111111,0.919068333333333,0.650310807921761,14,0.249623163542959,0.227812669045998,"constrained",1,0.021810494496961
12,11.733047099211,0.227762013888889,0.2298172,0.22938776875,0.00708736507604729,0.772237986111111,0.263848059423438,0.408994682517704,0.160979652777778,0.227762013888889,0.937922222222222,0.928513055555556,0.647468797174734,20,0.15858668960135,0.179527968932548,"constrained",1,-0.0209412793311986
0,1.26858851111997,0.320892291666667,0.327496,0.325230071875,0.0133375741773367,0.679107708333333,0.0200047659578925,0.0228989963819396,0.0400935416666668,0.320892291666667,0.722432777777778,0.715969722222222,0.736260233633779,9,1,1.1578933721548,"constrained",2,-0.157893372154798
1,2.59296988509537,0.311557708333333,0.318298,0.316213769791667,0.0147244108357487,0.688442291666667,0.0463351705068478,0.0589080466387439,0.0511356250000001,0.311557708333333,0.741758611111111,0.737397222222222,0.726277287221181,15,0.857420465180201,1.06193276092265,"constrained",2,-0.204512295742451
2,3.47270257050627,0.296356597222222,0.3034144,0.301510279861111,0.0170928919613054,0.703643402777778,0.0977985574169977,0.099337946137375,0.063343125,0.296356597222222,0.775405,0.758568055555556,0.710587206568194,13,0.529410157652019,0.91801070711619,"constrained",2,-0.388600549464171
3,3.92750405384432,0.290196319444444,0.2943428,0.292548783680556,0.00804127163516022,0.709803680555556,0.111811750396332,0.123479425940936,0.0720520138888889,0.290196319444445,0.783763333333333,0.779948055555555,0.704420128687774,11,0.812465220676327,0.874009517825745,"constrained",2,-0.0615442971494183
4,4.88112516314412,0.278160555555556,0.28452,0.282808320486111,0.0164343288152437,0.721839444444444,0.149319167501627,0.156187393016716,0.0796766666666667,0.278160555555556,0.806459722222222,0.7965725,0.69267480995697,15,0.520821504589453,0.788962854942152,"constrained",2,-0.268141350352698
5,5.9829519138333,0.269465694444444,0.2753468,0.273644325694444,0.015270301108549,0.730534305555556,0.175121973302202,0.181828341318659,0.0883709722222221,0.269465694444444,0.821235,0.816575555555556,0.684430554729063,19,0.733281262502899,0.678458841680556,"constrained",2,0.0548224208223429
6,7.03989861852459,0.258941805555556,0.2641116,0.2628925875,0.0150281222533307,0.741058194444444,0.208755691852249,0.222483904215846,0.101399305555556,0.258941805555556,0.847603888888889,0.837311111111111,0.674710844233818,16,0.571627695488502,0.610702999821504,"constrained",2,-0.0390753043330022
7,7.6526075143844,0.250484791666667,0.2552964,0.253958890625,0.013679768996405,0.749515208333333,0.232681947279915,0.247718552201106,0.107772430555556,0.250484791666667,0.865090277777778,0.849485,0.667097871318488,11,0.279893293296807,0.528543374409924,"constrained",2,-0.248650081113117
8,8.58419845625835,0.240646111111111,0.2463876,0.24536953125,0.0192502309264972,0.759353888888889,0.259707880486821,0.278812050260967,0.116412222222222,0.240646111111111,0.883901666666667,0.867630555555556,0.658454519448917,17,0.338538650955603,0.464581017667236,"constrained",2,-0.126042366711632
9,9.37021106360031,0.231976527777778,0.2337976,0.233019387152778,0.00447541892433296,0.768023472222222,0.285565734431112,0.310154710312265,0.12635875,0.231976527777778,0.900965555555555,0.887798888888889,0.651021769625458,14,0.305897077523568,0.381848903964844,"constrained",2,-0.0759518264412766
10,10.1059188828006,0.227239236111111,0.2315856,0.230751291319444,0.0152200890762141,0.772760763888889,0.301099090024833,0.329214172422626,0.134449097222222,0.227239236111111,0.923595833333333,0.890823888888889,0.647030780242735,22,0.273028781359668,0.335305641316591,"constrained",2,-0.0622768599569233
11,10.5369464228457,0.222882847222222,0.2269984,0.226302579861111,0.0151113285627929,0.777117152777778,0.313529048981022,0.347075721987414,0.139310208333333,0.222882847222222,0.935368055555555,0.897486666666667,0.643403633818618,10,0.189443994618754,0.263325127910062,"constrained",2,-0.073881133291308
12,11.1352165322905,0.216020347222222,0.2204524,0.219912579166667,0.0176989963884451,0.783979652777778,0.338512459542999,0.363462586414899,0.145111319444444,0.216020347222222,0.949659444444445,0.9085225,0.637771654185682,13,0.161434313298005,0.232918486214216,"constrained",2,-0.0714841729162115
0,1.74225379723394,0.326997013888889,0.3345224,0.332128914583333,0.015451532429456,0.673002986111111,0.0208727354658382,0.0361833482254012,0.0467979861111112,0.326997013888889,0.714955,0.724646944444444,0.742938754089646,16,1,1.09783115172632,"constrained",3,-0.097831151726322
1,2.60459688113292,0.315998194444444,0.321748,0.319738922569444,0.0116993204797817,0.684001805555556,0.0540365796595228,0.0717517596090909,0.0588218055555556,0.315998194444445,0.732246388888889,0.753400833333333,0.730992222445807,9,0.953498448465796,0.982766856961423,"constrained",3,-0.0292684084956277
2,3.46365426382913,0.3054425,0.3119652,0.310057712152778,0.0148850100219527,0.6945575,0.0819304865162364,0.1047693018424,0.0681822222222221,0.3054425,0.752638055555556,0.772841388888889,0.719882803079659,10,0.79015319444504,0.878080285775741,"constrained",3,-0.0879270913307013
3,4.24596248808542,0.294220763888889,0.3015364,0.299645500347222,0.0181038475533499,0.705779236111111,0.122790392649403,0.136694787140156,0.079394513888889,0.294220763888889,0.773952222222222,0.796395277777778,0.708436823325991,11,0.792359417144126,0.803198107799923,"constrained",3,-0.010838690655796
4,5.15264035285816,0.285065,0.2888172,0.286962314930556,0.00661172158098427,0.714935,0.144044536150806,0.168703147704002,0.0904325,0.285065,0.796477222222223,0.814257777777777,0.699364277871415,12,0.520234979272907,0.688083360793655,"constrained",3,-0.167848381520749
5,6.03384849735353,0.272634097222222,0.2789596,0.277623115972222,0.0179704731449639,0.727365902777778,0.176748934563228,0.218250161237715,0.105012847222222,0.272634097222222,0.818373888888889,0.846383611111111,0.687411931313418,17,0.336807288733842,0.595212392167711,"constrained",3,-0.258405103433869
6,6.54079170117912,0.270607222222222,0.2742932,0.272942125,0.00855457096546661,0.729392777777778,0.18467847847464,0.220744162182397,0.106401666666667,0.270607222222222,0.820865,0.850723888888889,0.68550171489679,12,0.419649115507465,0.530854299558483,"constrained",3,-0.111205184051019
7,7.32733747985114,0.263316736111111,0.2700424,0.268687505208333,0.0199889053011897,0.736683263888889,0.203522983904586,0.249234746152404,0.114952430555555,0.263316736111111,0.832311388888889,0.87096,0.678717740050917,18,0.396447453210299,0.504060620061656,"constrained",3,-0.107613166851357
8,7.99271617582816,0.254361180555556,0.2572444,0.25618599375,0.00712300140898878,0.745638819444444,0.230521054462921,0.273738982046895,0.122949375,0.254361180555555,0.860288055555556,0.876888333333333,0.670565945550604,19,0.473375876685869,0.410867052344869,"constrained",3,0.0625088243409999
9,8.69773080036456,0.247473194444444,0.2508752,0.249967830902778,0.00997983000181949,0.752526805555556,0.250785666326042,0.301297897009211,0.131580972222222,0.247473194444444,0.876968333333333,0.891247222222222,0.664428158982155,12,0.282484984886155,0.33839932087946,"constrained",3,-0.0559143359933044
