"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","max_use","seed"
10,9.11313375350797,0.240641875,0.2459428,0.245189509027778,0.0185474249930594,0.759358125,0.269946691457833,0.323587757075719,0.138615347222222,0.240641875,0.892503611111111,0.903443333333333,0.658450846232797,13,"none",3
11,9.80238242440878,0.235093055555556,0.2390572,0.238237394791667,0.0131983446127789,0.764906944444444,0.28908447458148,0.339773014984048,0.143725277777778,0.235093055555555,0.909536111111111,0.907728333333333,0.653674284998357,16,"none",3
12,10.3793211609682,0.227303472222222,0.2322428,0.231677901388889,0.0188815123947615,0.772696527777778,0.312438197246783,0.359874203094341,0.148652638888889,0.227303472222222,0.930213888888889,0.912484444444444,0.647084569459586,12,"none",3
13,10.8651461689451,0.221518333333333,0.2261304,0.22556485,0.0179394824444793,0.778481666666667,0.325422612862464,0.381195071226925,0.1532875,0.221518333333333,0.938389166666667,0.925149166666667,0.642275883182862,20,"none",3
14,11.1426425447959,0.217133472222222,0.2203336,0.219772052083333,0.0120059845467093,0.782866527777778,0.334302634293378,0.399957578693896,0.157353194444444,0.217133472222222,0.946083888888889,0.934355555555555,0.638678474885477,13,"none",3
15,11.6587078026721,0.211203055555556,0.2157144,0.215230270138889,0.0187111904879114,0.788796944444444,0.352257673686526,0.413752357051048,0.161938333333334,0.211203055555556,0.954765833333333,0.946704722222222,0.633876694783793,16,"none",3
0,1.43905662375414,0.326025,0.3337572,0.331444012847222,0.0163497080567876,0.673975,0.0214542245166429,0.0313903090258271,0.0424475000000001,0.326025,0.718624166666667,0.714220833333334,0.741867279943618,12,"none",4
1,2.42913217984236,0.314102847222222,0.3199688,0.317896725694444,0.0119343112576402,0.685897152777778,0.068068869658311,0.0635250784670267,0.053518263888889,0.314102847222222,0.738096666666667,0.740734166666667,0.728972263516589,10,"none",4
2,3.20549332465076,0.301871180555556,0.307776,0.305802636111111,0.0128561859555951,0.698128819444444,0.101311992261996,0.105408856033147,0.0678185416666668,0.301871180555556,0.769320833333333,0.762573888888889,0.71620019983975,13,"none",4
3,4.33475767319179,0.290016319444444,0.2951256,0.293418147222222,0.0115937879438705,0.709983680555556,0.13369733239096,0.145969341295429,0.0806092361111109,0.290016319444444,0.804833055555555,0.776352777777778,0.704241539198133,14,"none",4
4,5.09878862123308,0.279940069444444,0.2864896,0.2849018375,0.0174157109659059,0.720059930555556,0.162245929121302,0.179345967368293,0.0907113194444444,0.279940069444444,0.827523611111111,0.794018888888889,0.694386645864643,11,"none",4
5,5.70583264885695,0.273378819444444,0.279932,0.278356822569444,0.0178835319323208,0.726621180555556,0.177536572848531,0.205673392448375,0.0984086805555555,0.273378819444444,0.843810277777778,0.806249444444444,0.688116467535,15,"none",4
6,6.53315021932407,0.263564027777778,0.2690756,0.267845943402778,0.0159864867490676,0.736435972222222,0.204500987896992,0.236387968213868,0.108655138888889,0.263564027777778,0.861350833333333,0.828831388888889,0.678945650212105,13,"none",4
7,7.38830753407635,0.254418125,0.2593224,0.258179511458333,0.0145688805323359,0.745581875,0.230189874148397,0.273813941442459,0.121055486111111,0.254418125,0.8774325,0.855842222222222,0.670617160590177,14,"none",4
8,8.00055837230644,0.245053888888889,0.2511048,0.250051873263889,0.0199877901723433,0.754946111111111,0.254016235791805,0.308393919343134,0.13331,0.245053888888889,0.893298333333333,0.883213888888889,0.662298927885213,13,"none",4
9,8.75601827418758,0.238023194444444,0.2423,0.241495572569444,0.0143786409334752,0.761976805555556,0.277161525864924,0.32874038912586,0.136021805555556,0.238023194444444,0.90574,0.890257222222222,0.656187952644374,19,"none",4
10,9.42140944023541,0.232099513888889,0.2354152,0.234615377777778,0.0107233545930301,0.767900486111111,0.294119913502823,0.353674998324527,0.143297152777778,0.232099513888889,0.924726944444444,0.897668333333333,0.651126036567781,17,"none",4
11,9.81454283654302,0.229295069444444,0.2325904,0.232022694097222,0.0117558528634051,0.770704930555556,0.301566920843925,0.363795284311606,0.146787430555556,0.229295069444444,0.931552222222222,0.9034325,0.648756716321485,11,"none",4
12,10.4399300904452,0.222979097222222,0.2272388,0.226698653125,0.0164074900821174,0.777020902777778,0.323116704895747,0.380378959438821,0.151443958333333,0.222979097222222,0.936529444444444,0.920400277777778,0.643483332575155,14,"none",4
13,11.0145623137999,0.218180972222222,0.2226208,0.222013455902778,0.0172623936912808,0.781819027777778,0.340047626356194,0.391165868048816,0.155597638888889,0.218180972222222,0.944317222222222,0.930516111111111,0.639534191718494,15,"none",4
14,11.4992632138361,0.212108819444444,0.2167224,0.2162058,0.0189494479590997,0.787891180555556,0.358155163375756,0.409632473358798,0.160222291666667,0.212108819444444,0.953227777777778,0.942999166666667,0.634605402801236,15,"none",4
15,11.8497931235413,0.206279236111111,0.2102572,0.209963324305556,0.0175463415176409,0.793720763888889,0.375728909029942,0.430370312202658,0.167239375,0.206279236111111,0.963014722222222,0.958905555555556,0.629944462521323,16,"none",4
0,1.40419975202733,0.324355902777778,0.3317328,0.32946658125,0.0155119783403592,0.675644097222222,0.0179463992528919,0.0277975909465937,0.0421188194444444,0.324355902777778,0.708958611111111,0.726567222222222,0.740034586338653,13,"none",5
1,2.71822706050576,0.311379791666667,0.3194372,0.317142218402778,0.0181698506276851,0.688620208333333,0.0541286016363086,0.0739632520482765,0.0582321527777778,0.311379791666667,0.731261944444444,0.762442777777778,0.72608964121188,13,"none",5
2,3.67603969060097,0.301757013888889,0.3077012,0.305722169444444,0.0129698005308579,0.698242986111111,0.0768419105006697,0.114428428365437,0.0720757638888888,0.301757013888889,0.741155277777778,0.799482222222222,0.716083097067351,18,"none",5
