"evals","secs","best","method"
41100,0.274999999999977,1.52627111054941,"hill"
41400,0.277000000000044,1.52627111054941,"hill"
41700,0.279999999999973,1.52627111054941,"hill"
42000,0.281000000000063,1.52627111054941,"hill"
42300,0.283000000000015,1.52627111054941,"hill"
42600,0.284999999999968,1.52627111054941,"hill"
42900,0.287000000000035,1.52627111054941,"hill"
43200,0.288999999999987,1.52627111054941,"hill"
43500,0.291000000000054,1.52627111054941,"hill"
43800,0.293000000000006,1.52627111054941,"hill"
44100,0.294999999999959,1.52627111054941,"hill"
44400,0.298000000000002,1.52627111054941,"hill"
44700,0.300000000000068,1.52627111054941,"hill"
45000,0.302000000000021,1.52627111054941,"hill"
45300,0.302999999999997,1.52627111054941,"hill"
45600,0.305000000000064,1.52627111054941,"hill"
45900,0.307000000000016,1.52627111054941,"hill"
46200,0.308999999999969,1.52627111054941,"hill"
46500,0.311000000000035,1.52627111054941,"hill"
46800,0.313999999999965,1.52627111054941,"hill"
47100,0.316000000000031,1.52627111054941,"hill"
47400,0.317999999999984,1.52627111054941,"hill"
47700,0.32000000000005,1.52627111054941,"hill"
48000,0.322000000000003,1.52627111054941,"hill"
48300,0.322999999999979,1.52627111054941,"hill"
48600,0.325000000000045,1.52627111054941,"hill"
48900,0.326999999999998,1.52627111054941,"hill"
49200,0.329000000000065,1.52627111054941,"hill"
49500,0.331999999999994,1.52627111054941,"hill"
49800,0.33400000000006,1.52627111054941,"hill"
50100,0.336000000000013,1.52627111054941,"hill"
50400,0.337999999999965,1.52627111054941,"hill"
50700,0.340000000000032,1.52627111054941,"hill"
51000,0.341000000000008,1.52627111054941,"hill"
51300,0.342999999999961,1.52627111054941,"hill"
51600,0.345000000000027,1.52627111054941,"hill"
51900,0.34699999999998,1.52627111054941,"hill"
52200,0.350000000000023,1.52627111054941,"hill"
52500,0.351999999999975,1.52627111054941,"hill"
52800,0.354000000000042,1.52627111054941,"hill"
53100,0.355999999999995,1.52627111054941,"hill"
53400,0.358000000000061,1.52627111054941,"hill"
53700,0.360000000000014,1.52627111054941,"hill"
54000,0.361999999999966,1.52627111054941,"hill"
54300,0.363000000000056,1.52627111054941,"hill"
54600,0.365999999999985,1.52627111054941,"hill"
54900,0.368000000000052,1.52627111054941,"hill"
55200,0.370000000000005,1.52627111054941,"hill"
55500,0.371999999999957,1.52627111054941,"hill"
55800,0.373000000000047,1.52627111054941,"hill"
56100,0.375,1.52627111054941,"hill"
56400,0.377000000000066,1.52627111054941,"hill"
56700,0.379000000000019,1.52627111054941,"hill"
57000,0.380999999999972,1.52627111054941,"hill"
57300,0.384000000000015,1.52627111054941,"hill"
57600,0.385999999999967,1.52627111054941,"hill"
57900,0.388000000000034,1.52627111054941,"hill"
58200,0.38900000000001,1.52627111054941,"hill"
58500,0.390999999999963,1.52627111054941,"hill"
58800,0.393000000000029,1.52627111054941,"hill"
59100,0.394999999999982,1.52627111054941,"hill"
59400,0.397000000000048,1.52627111054941,"hill"
59700,0.399000000000001,1.52627111054941,"hill"
60000,0.402000000000044,1.52627111054941,"hill"
300,0.00299999999992906,0.898260732080147,"anneal"
600,0.00499999999999545,0.898260732080147,"anneal"
900,0.00699999999994816,0.912644206675925,"anneal"
1200,0.00900000000001455,0.99761759672267,"anneal"
1500,0.0109999999999673,1.04683551894842,"anneal"
1800,0.0149999999999864,1.13017512069849,"anneal"
2100,0.0169999999999391,1.18977983792727,"anneal"
2400,0.0190000000000055,1.18977983792727,"anneal"
2700,0.0209999999999582,1.18977983792727,"anneal"
3000,0.0230000000000246,1.18977983792727,"anneal"
3300,0.0249999999999773,1.3021991685799,"anneal"
3600,0.02699999999993,1.3021991685799,"anneal"
3900,0.0289999999999964,1.3021991685799,"anneal"
4200,0.0319999999999254,1.3021991685799,"anneal"
4500,0.0339999999999918,1.3021991685799,"anneal"
4800,0.0359999999999445,1.3021991685799,"anneal"
5100,0.0380000000000109,1.36629395739906,"anneal"
5400,0.0399999999999636,1.37672506866405,"anneal"
5700,0.04200000000003,1.39475646956281,"anneal"
6000,0.0449999999999591,1.39475646956281,"anneal"
6300,0.0470000000000255,1.39475646956281,"anneal"
6600,0.0489999999999782,1.39475646956281,"anneal"
6900,0.0509999999999309,1.39475646956281,"anneal"
7200,0.0529999999999973,1.39475646956281,"anneal"
7500,0.05499999999995,1.39475646956281,"anneal"
7800,0.0570000000000164,1.39475646956281,"anneal"
8100,0.0599999999999454,1.39475646956281,"anneal"
8400,0.0620000000000118,1.39475646956281,"anneal"
8700,0.0639999999999645,1.39475646956281,"anneal"
9000,0.0659999999999172,1.39475646956281,"anneal"
9300,0.06899999999996,1.39475646956281,"anneal"
9600,0.0710000000000264,1.39475646956281,"anneal"
9900,0.0729999999999791,1.40705082712311,"anneal"
10200,0.0749999999999318,1.40705082712311,"anneal"
10500,0.0769999999999982,1.41220656296017,"anneal"
10800,0.0789999999999509,1.41891892704682,"anneal"
11100,0.0810000000000173,1.43379341458018,"anneal"
11400,0.08299999999997,1.43379341458018,"anneal"
11700,0.0849999999999227,1.43379341458018,"anneal"
12000,0.0879999999999654,1.43379341458018,"anneal"
12300,0.0899999999999181,1.43379341458018,"anneal"
12600,0.0919999999999845,1.43941376026789,"anneal"
12900,0.0939999999999372,1.43941376026789,"anneal"
13200,0.0989999999999327,1.43941376026789,"anneal"
13500,0.100999999999999,1.45379651305353,"anneal"
13800,0.102999999999952,1.45379651305353,"anneal"
14100,0.105000000000018,1.45379651305353,"anneal"
14400,0.106999999999971,1.45379651305353,"anneal"
14700,0.108999999999924,1.4716650339769,"anneal"
15000,0.11099999999999,1.48351013876627,"anneal"
15300,0.112999999999943,1.48351013876627,"anneal"
15600,0.115999999999985,1.48351013876627,"anneal"
15900,0.117999999999938,1.48351013876627,"anneal"
16200,0.120000000000005,1.48351013876627,"anneal"
16500,0.121999999999957,1.48351013876627,"anneal"
16800,0.124000000000024,1.48351013876627,"anneal"
17100,0.125999999999976,1.48351013876627,"anneal"
17400,0.129000000000019,1.48351013876627,"anneal"
17700,0.130999999999972,1.48351013876627,"anneal"
18000,0.132999999999925,1.48351013876627,"anneal"
18300,0.134999999999991,1.48351013876627,"anneal"
18600,0.136999999999944,1.4837623761015,"anneal"
18900,0.139999999999986,1.4837623761015,"anneal"
19200,0.141999999999939,1.4837623761015,"anneal"
19500,0.144000000000005,1.4837623761015,"anneal"
19800,0.145999999999958,1.4837623761015,"anneal"
20100,0.148000000000025,1.4959798367756,"anneal"
20400,0.149999999999977,1.4960656672278,"anneal"
20700,0.15199999999993,1.4960656672278,"anneal"
21000,0.153999999999996,1.49892587061063,"anneal"
21300,0.155999999999949,1.49892587061063,"anneal"
21600,0.158000000000015,1.49892587061063,"anneal"
21900,0.159999999999968,1.49892587061063,"anneal"
22200,0.161999999999921,1.49892587061063,"anneal"
22500,0.164999999999964,1.50349076736851,"anneal"
22800,0.16700000000003,1.51120650433724,"anneal"
23100,0.168999999999983,1.51120650433724,"anneal"
23400,0.170999999999935,1.51120650433724,"anneal"
23700,0.173000000000002,1.51120650433724,"anneal"
24000,0.174999999999955,1.51120650433724,"anneal"
24300,0.177000000000021,1.51120650433724,"anneal"
24600,0.178999999999974,1.51120650433724,"anneal"
24900,0.182000000000016,1.51120650433724,"anneal"
25200,0.183999999999969,1.51120650433724,"anneal"
25500,0.185999999999922,1.51281532108167,"anneal"
25800,0.187999999999988,1.51281532108167,"anneal"
26100,0.189999999999941,1.5141344545876,"anneal"
26400,0.192000000000007,1.5141344545876,"anneal"
26700,0.19399999999996,1.5141344545876,"anneal"
27000,0.197000000000003,1.5141344545876,"anneal"
27300,0.198999999999955,1.5141344545876,"anneal"
27600,0.201000000000022,1.5141344545876,"anneal"
27900,0.202999999999975,1.5141344545876,"anneal"
28200,0.204999999999927,1.5141344545876,"anneal"
28500,0.206999999999994,1.5141344545876,"anneal"
28800,0.208999999999946,1.5141344545876,"anneal"
29100,0.211000000000013,1.5141344545876,"anneal"
29400,0.213999999999942,1.5141344545876,"anneal"
29700,0.216000000000008,1.5141344545876,"anneal"
30000,0.217999999999961,1.5141344545876,"anneal"
30300,0.220000000000027,1.52119096143985,"anneal"
30600,0.22199999999998,1.52468069132534,"anneal"
30900,0.223999999999933,1.52468069132534,"anneal"
31200,0.225999999999999,1.52468069132534,"anneal"
31500,0.228999999999928,1.52468069132534,"anneal"
31800,0.230999999999995,1.52468069132534,"anneal"
32100,0.232999999999947,1.52468069132534,"anneal"
32400,0.235000000000014,1.52468069132534,"anneal"
32700,0.236999999999966,1.52578367128056,"anneal"
33000,0.238999999999919,1.52578367128056,"anneal"
33300,0.240999999999985,1.52578367128056,"anneal"
33600,0.242999999999938,1.52578367128056,"anneal"
33900,0.245999999999981,1.52578367128056,"anneal"
34200,0.247999999999934,1.52578367128056,"anneal"
34500,0.25,1.52578367128056,"anneal"
34800,0.251999999999953,1.52578367128056,"anneal"
35100,0.254000000000019,1.52578367128056,"anneal"
35400,0.255999999999972,1.52578367128056,"anneal"
35700,0.257999999999925,1.52578367128056,"anneal"
36000,0.259999999999991,1.52578367128056,"anneal"
36300,0.261999999999944,1.52578367128056,"anneal"
36600,0.26400000000001,1.52578367128056,"anneal"
36900,0.265999999999963,1.52578367128056,"anneal"
37200,0.269000000000005,1.52578367128056,"anneal"
37500,0.270999999999958,1.52578367128056,"anneal"
37800,0.273000000000025,1.52578367128056,"anneal"
38100,0.274999999999977,1.52578367128056,"anneal"
38400,0.27699999999993,1.52578367128056,"anneal"
38700,0.278999999999996,1.52578367128056,"anneal"
39000,0.280999999999949,1.52578367128056,"anneal"
39300,0.283000000000015,1.52578367128056,"anneal"
39600,0.284999999999968,1.52587492719833,"anneal"
39900,0.286999999999921,1.52587492719833,"anneal"
40200,0.288999999999987,1.52587492719833,"anneal"
40500,0.29099999999994,1.52587492719833,"anneal"
40800,0.293999999999983,1.52587492719833,"anneal"
41100,0.295999999999935,1.52587492719833,"anneal"
41400,0.298000000000002,1.52587492719833,"anneal"
41700,0.299999999999955,1.52612743275136,"anneal"
42000,0.302000000000021,1.52612743275136,"anneal"
42300,0.303999999999974,1.52612743275136,"anneal"
42600,0.307000000000016,1.52612743275136,"anneal"
42900,0.308999999999969,1.52612743275136,"anneal"
43200,0.312000000000012,1.52612743275136,"anneal"
43500,0.313999999999965,1.52612743275136,"anneal"
43800,0.315999999999917,1.52693337385029,"anneal"
44100,0.317999999999984,1.52693337385029,"anneal"
44400,0.319999999999936,1.52693337385029,"anneal"
44700,0.322000000000003,1.52693337385029,"anneal"
45000,0.323999999999955,1.52795748662057,"anneal"
45300,0.326999999999998,1.52795748662057,"anneal"
45600,0.328999999999951,1.52795748662057,"anneal"
45900,0.331000000000017,1.52795748662057,"anneal"
46200,0.33299999999997,1.52795748662057,"anneal"
46500,0.334999999999923,1.52795748662057,"anneal"
46800,0.336999999999989,1.52795748662057,"anneal"
47100,0.338999999999942,1.52795748662057,"anneal"
47400,0.341000000000008,1.52795748662057,"anneal"
47700,0.342999999999961,1.52795748662057,"anneal"
48000,0.345000000000027,1.52795748662057,"anneal"
48300,0.34699999999998,1.52795748662057,"anneal"
48600,0.348999999999933,1.52795748662057,"anneal"
48900,0.350999999999999,1.52795748662057,"anneal"
49200,0.353999999999928,1.52795748662057,"anneal"
49500,0.355000000000018,1.52795748662057,"anneal"
49800,0.357999999999947,1.52795748662057,"anneal"
50100,0.360000000000014,1.52795748662057,"anneal"
50400,0.361999999999966,1.52795748662057,"anneal"
50700,0.363999999999919,1.52795748662057,"anneal"
51000,0.365999999999985,1.52795748662057,"anneal"
51300,0.367999999999938,1.52795748662057,"anneal"
51600,0.370000000000005,1.52795748662057,"anneal"
51900,0.371999999999957,1.52795748662057,"anneal"
52200,0.375,1.52795748662057,"anneal"
52500,0.376999999999953,1.52795748662057,"anneal"
52800,0.379000000000019,1.52795748662057,"anneal"
53100,0.380999999999972,1.52795748662057,"anneal"
53400,0.382999999999925,1.52795748662057,"anneal"
53700,0.384999999999991,1.52795748662057,"anneal"
54000,0.386999999999944,1.52795748662057,"anneal"
54300,0.38900000000001,1.52795748662057,"anneal"
54600,0.391999999999939,1.52795748662057,"anneal"
54900,0.394000000000005,1.52795748662057,"anneal"
55200,0.395999999999958,1.52795748662057,"anneal"
55500,0.398000000000025,1.52795748662057,"anneal"
55800,0.399999999999977,1.52795748662057,"anneal"
56100,0.40199999999993,1.52795748662057,"anneal"
56400,0.403999999999996,1.52795748662057,"anneal"
56700,0.406999999999925,1.52795748662057,"anneal"
57000,0.408999999999992,1.52795748662057,"anneal"
57300,0.410999999999945,1.52795748662057,"anneal"
57600,0.413000000000011,1.52795748662057,"anneal"
57900,0.414999999999964,1.52795748662057,"anneal"
58200,0.41700000000003,1.52795748662057,"anneal"
58500,0.418999999999983,1.52795748662057,"anneal"
58800,0.420999999999935,1.52795748662057,"anneal"
59100,0.423000000000002,1.52795748662057,"anneal"
59400,0.424999999999955,1.52795748662057,"anneal"
59700,0.427000000000021,1.52795748662057,"anneal"
60000,0.428999999999974,1.52795748662057,"anneal"
400,0.00199999999995271,1.01972045310962,"tempering"
800,0.00499999999999545,1.1201167207394,"tempering"
1200,0.00900000000001455,1.21428958105565,"tempering"
1600,0.0109999999999673,1.31378225341073,"tempering"
2000,0.01400000000001,1.3593581782922,"tempering"
2400,0.0170000000000528,1.38084787314944,"tempering"
2800,0.0199999999999818,1.42245827311474,"tempering"
3200,0.0230000000000246,1.45246389617174,"tempering"
3600,0.0259999999999536,1.45656892084578,"tempering"
4000,0.0289999999999964,1.45656892084578,"tempering"
4400,0.0309999999999491,1.45656892084578,"tempering"
4800,0.0339999999999918,1.45656892084578,"tempering"
5200,0.0370000000000346,1.45656892084578,"tempering"
5600,0.0399999999999636,1.45656892084578,"tempering"
6000,0.0430000000000064,1.45656892084578,"tempering"
6400,0.0460000000000491,1.45656892084578,"tempering"
6800,0.0489999999999782,1.45656892084578,"tempering"
7200,0.0520000000000209,1.46452309913729,"tempering"
7600,0.0539999999999736,1.46452309913729,"tempering"
8000,0.0579999999999927,1.46452309913729,"tempering"
8400,0.0610000000000355,1.46452309913729,"tempering"
8800,0.0629999999999882,1.46452309913729,"tempering"
9200,0.0660000000000309,1.46664864202581,"tempering"
9600,0.06899999999996,1.46664864202581,"tempering"
10000,0.0710000000000264,1.47161002455041,"tempering"
10400,0.0750000000000455,1.47560534119807,"tempering"
10800,0.0779999999999745,1.47560534119807,"tempering"
11200,0.0800000000000409,1.48482806897882,"tempering"
11600,0.08299999999997,1.48640238044752,"tempering"
12000,0.0860000000000127,1.48640238044752,"tempering"
12400,0.0890000000000555,1.48640238044752,"tempering"
12800,0.0919999999999845,1.48640238044752,"tempering"
13200,0.0940000000000509,1.487669499829,"tempering"
13600,0.09699999999998,1.487669499829,"tempering"
14000,0.100000000000023,1.487669499829,"tempering"
14400,0.102999999999952,1.487669499829,"tempering"
14800,0.105999999999995,1.487669499829,"tempering"
15200,0.109000000000037,1.487669499829,"tempering"
15600,0.11099999999999,1.49071566637164,"tempering"
16000,0.114000000000033,1.49381878770655,"tempering"
16400,0.116999999999962,1.49381878770655,"tempering"
16800,0.120000000000005,1.49381878770655,"tempering"
17200,0.123000000000047,1.49381878770655,"tempering"
17600,0.125999999999976,1.49381878770655,"tempering"
18000,0.128000000000043,1.49381878770655,"tempering"
18400,0.130999999999972,1.49955368484109,"tempering"
18800,0.134000000000015,1.49955368484109,"tempering"
19200,0.137000000000057,1.49955368484109,"tempering"
19600,0.139999999999986,1.49955368484109,"tempering"
20000,0.143000000000029,1.50350969191764,"tempering"
20400,0.144999999999982,1.50350969191764,"tempering"
20800,0.148000000000025,1.50350969191764,"tempering"
