"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","budget","seed"
8,8.51171972072204,0.196454027777778,0.1969124,0.196745098263889,0.00147942941745224,0.803545972222222,0.407576754684246,0.449554579972572,0.174509305555556,0.196454027777778,0.968903055555556,0.9872075,0.622241934232139,18,"unconstrained",3
9,8.77875551608426,0.192246805555556,0.1959236,0.195762078125,0.0179568617329444,0.807753194444444,0.418537223750137,0.46217679049302,0.176465138888889,0.192246805555556,0.979107222222222,0.989329444444444,0.619000956528422,16,"unconstrained",3
10,9.0859737763373,0.191178680555556,0.1918468,0.191731708680556,0.00288438531532321,0.808821319444444,0.420128970104609,0.463299298993346,0.177397708333333,0.191178680555556,0.981229166666667,0.991208888888889,0.618183507258977,21,"unconstrained",3
11,9.36090522673326,0.189750208333333,0.1910596,0.190967235416667,0.00637296277907527,0.810249791666667,0.424015332973013,0.471210422618431,0.179571458333333,0.189750208333333,0.986444722222222,0.993197777777778,0.617093648332214,20,"unconstrained",3
12,9.46663917462398,0.189182638888889,0.1900528,0.189995104513889,0.00427624504893818,0.810817361111111,0.424723665201095,0.474501922859555,0.180834027777778,0.189182638888889,0.989136388888889,0.994166388888889,0.616661684839629,20,"unconstrained",3
13,9.53172268836314,0.189132152777778,0.1889748,0.188926084027778,-0.00109073742284129,0.810867847222222,0.424823889068469,0.474499732133045,0.182281736111111,0.189132152777778,0.991561388888889,0.994737777777778,0.616623290358401,20,"unconstrained",3
14,9.55349180803941,0.188554861111111,0.1888668,0.18881639375,0.00138511616335165,0.811445138888889,0.426094944647151,0.477020048912143,0.183653472222222,0.188554861111111,0.993883888888889,0.996313333333333,0.616184602060282,10,"unconstrained",3
15,9.55803287950989,0.187681666666667,0.1883936,0.188367397916667,0.0036403924330015,0.812318333333333,0.428186408300477,0.481085767473039,0.184676388888889,0.187681666666667,0.996289444444444,0.9977,0.615522239844396,25,"unconstrained",3
0,1.69269965099577,0.317486666666667,0.3337572,0.331444012847222,0.0421107204823432,0.682513333333333,0.0479316777648409,0.0516969100067114,0.048116111111111,0.317486666666667,0.7481775,0.713081388888889,0.732586420778105,17,"unconstrained",4
1,2.91040031703661,0.287411597222222,0.3091552,0.307052797916667,0.0639668513939907,0.712588402777778,0.129397603232709,0.144414304564104,0.0730286805555557,0.287411597222222,0.822536666666667,0.7486975,0.701667327240977,21,"unconstrained",4
