"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","var_g","var_genic","budget","selector"
4,6.60439151532747,0.216131944444444,0.2433216,0.242241414583333,0.107782850359417,0.783868055555556,0.353726743328572,0.342549591780534,0.1413325,0.216131944444445,0.949589444444445,0.900811666666667,0.637862452049576,13,0.345247454289392,0.45218774520777,"unconstrained","greedy"
5,7.34472655560896,0.209053402777778,0.214298,0.213829014236111,0.0223337860645054,0.790946597222222,0.376774763873223,0.36251613626662,0.147642986111111,0.209053402777778,0.951372222222222,0.925806944444444,0.632153930184393,15,0.12451852177213,0.231463012703866,"unconstrained","greedy"
6,8.03347820213353,0.202442708333333,0.2059876,0.205418672916667,0.0144873128673195,0.797557291666667,0.396886261007221,0.383611388185261,0.151886180555556,0.202442708333333,0.958169444444445,0.9407175,0.626914210708478,16,0.107802730042716,0.160487351182313,"unconstrained","greedy"
7,8.64049481576926,0.196324930555556,0.2028188,0.202388015277778,0.0299577260733578,0.803675069444444,0.415188396211856,0.397881121569904,0.155703958333333,0.196324930555556,0.969163055555556,0.949595,0.622141981268169,17,0.112641292265147,0.124985485274485,"unconstrained","greedy"
8,9.0829983796836,0.191611319444444,0.195086,0.194742153472222,0.016076817329764,0.808388680555556,0.432116436251276,0.409756703221657,0.161117569444445,0.191611319444445,0.977809444444444,0.961203055555556,0.618514350864464,20,0.0677991627050994,0.0770410937140211,"unconstrained","greedy"
9,9.4957263395804,0.188023333333333,0.1909724,0.190773136805556,0.0144139972653747,0.811976666666667,0.444662586517126,0.420567785630764,0.166025833333334,0.188023333333333,0.984520833333333,0.971484166666667,0.615781241661296,13,0.0554933747098054,0.049359192363831,"unconstrained","greedy"
10,9.6424855126327,0.185741527777778,0.1872204,0.187033882638889,0.00690973658289676,0.814258472222222,0.451824079467717,0.428673262053943,0.167635138888889,0.185741527777778,0.984358611111111,0.979428611111111,0.614055631052179,20,0.0128622384589033,0.0206041608576829,"unconstrained","greedy"
11,9.74663333163972,0.18442375,0.1856444,0.185507791319444,0.00584364307145316,0.81557625,0.456140042996112,0.434212385177264,0.169289027777778,0.18442375,0.986809444444445,0.982921111111111,0.61306346279701,21,0.0046531545541394,0.00763964426284438,"unconstrained","greedy"
12,9.84358606323516,0.182894027777778,0.1841628,0.184054252083333,0.00630370824049361,0.817105972222222,0.45996338639853,0.437208366312814,0.170049861111111,0.182894027777778,0.988221944444444,0.986089722222222,0.611915733084397,14,0.00310859222861294,0.0054121958422183,"unconstrained","greedy"
0,1.37497044777657,0.320049097222222,0.3280928,0.325827530902778,0.0177346391342228,0.679950902777778,0.0256536788564564,0.0312024654653885,0.0435017361111112,0.320049097222222,0.718329166666667,0.728576111111111,0.735347211037398,12,1,1.12103664123217,"0.020","greedy"
1,2.9923922672759,0.308317222222222,0.3166112,0.314447460763889,0.019495271250639,0.691682777777778,0.0538961314461747,0.0773234323166305,0.0591719444444444,0.308317222222222,0.748241944444445,0.7534675,0.722874728219182,14,0.928521449036598,1.0412648463083,"0.020","greedy"
2,4.0649280124585,0.298700138888889,0.3060416,0.304229691666667,0.0181755855172621,0.701299861111111,0.0786788677509119,0.116246429345727,0.0707306944444445,0.298700138888889,0.784456944444444,0.759604166666667,0.71296178386207,15,0.870028546580861,0.881915649939751,"0.020","greedy"
3,4.83034405921582,0.290692569444444,0.2957268,0.294061714930556,0.0114572734737222,0.709307430555556,0.101423844284131,0.145155592020274,0.0786815972222223,0.290692569444444,0.793089166666667,0.782888888888889,0.704912959403769,11,1.06137118837608,0.798949689649197,"0.020","greedy"
4,5.98339839626417,0.282111805555556,0.289556,0.287728762152778,0.0195217070243387,0.717888194444444,0.127593580282937,0.186344585394867,0.091940138888889,0.282111805555556,0.812878055555556,0.806778611111111,0.696487285721334,14,0.91193984996036,0.73284182354924,"0.020","greedy"
5,6.5927015658925,0.275843611111111,0.2790964,0.277689403125,0.00664696597391594,0.724156388888889,0.140196540197391,0.217956010853862,0.101783611111111,0.275843611111111,0.833414166666667,0.818465833333333,0.690458591088558,12,0.610421771035767,0.634235431035053,"0.020","greedy"
6,7.76769743790853,0.265466944444444,0.270646,0.269217595486111,0.0139316712746594,0.734533055555556,0.165559034925669,0.262401038214963,0.114188888888889,0.265466944444445,0.856552777777778,0.840891111111111,0.68070455947259,18,0.598688633788904,0.553848041000831,"0.020","greedy"
7,8.61747115028128,0.258261180555556,0.2616044,0.260493570833333,0.00856984788774722,0.741738819444444,0.187348347313255,0.289801771754892,0.126369930555556,0.258261180555555,0.876058055555555,0.860159444444445,0.674091724597204,13,0.491933786077328,0.453732003156244,"0.020","greedy"
8,9.55981330760232,0.246800208333333,0.2521856,0.251319494444444,0.0179822346097791,0.753199791666667,0.221101603031608,0.325517060370234,0.136389236111111,0.246800208333333,0.893104444444444,0.886073611111111,0.663834490572029,16,0.303465748201825,0.349009015725203,"0.020","greedy"
9,10.0743710513557,0.242654236111111,0.2446664,0.243866591666667,0.00497138844345127,0.757345763888889,0.229924697029603,0.342498034322768,0.139732708333333,0.242654236111111,0.896068055555556,0.898088888888889,0.660200431349287,16,0.325362812767696,0.317446034116934,"0.020","greedy"
10,10.6305730946608,0.2366025,0.2417836,0.241004148611111,0.0182637877251385,0.7633975,0.243915375881203,0.366573253003208,0.147485555555556,0.2366025,0.908594444444444,0.913171666666667,0.654966776810246,11,0.493128296873421,0.299968106526387,"0.020","greedy"
11,11.284636706759,0.231136875,0.2335544,0.232908069444444,0.00760469333960502,0.768863125,0.260735714286298,0.383225957181742,0.153620347222222,0.231136875,0.925898611111111,0.919068333333333,0.650310807921761,14,0.249623163542959,0.227812669045998,"0.020","greedy"
12,11.733047099211,0.227762013888889,0.2298172,0.22938776875,0.00708736507604729,0.772237986111111,0.263848059423438,0.408994682517704,0.160979652777778,0.227762013888889,0.937922222222222,0.928513055555556,0.647468797174734,20,0.15858668960135,0.179527968932548,"0.020","greedy"
