"stage","n_in","n_out","GD_before","GD_after","loss_pct","share_of_total","seed","strategy","merit","Ne","alleles"
"S3 line per se",800,80,0.300554076041667,0.29930734375,0.414811307198451,4.23554056881181,7,"UC only",34.9500679281725,27.3130761351997,11156
"S4 hybrid mining",1600,200,0.2987374995,0.294538347916667,1.40563256717402,14.3525831137973,7,"UC only",34.9500679281725,27.3130761351997,11156
"S2 DH induction",120,800,0.330307314814815,0.319698480729167,3.21180718979713,26.8591551223432,7,"UC + div",32.8162789031077,26.4113568834599,11214
"S3 line per se",800,80,0.316240990972222,0.303074114583333,4.16355778180744,34.8182931645622,7,"UC + div",32.8162789031077,26.4113568834599,11214
"S4 hybrid mining",1600,200,0.302610363486111,0.288742954166667,4.58259563872506,38.3225517130947,7,"UC + div",32.8162789031077,26.4113568834599,11214
"S2 DH induction",120,800,0.331635578703704,0.293399410416667,11.5295736472228,81.0666357073247,8,"UC only",19.5022133669382,26.0926288323549,11371
"S3 line per se",800,80,0.290116702083333,0.28914703125,0.334234749799014,2.35006840076972,8,"UC only",19.5022133669382,26.0926288323549,11371
"S4 hybrid mining",1600,200,0.288600274222222,0.281793541666667,2.35853294800214,16.5832958919056,8,"UC only",19.5022133669382,26.0926288323549,11371
"S2 DH induction",120,800,0.331635578703704,0.321070388541667,3.18578308254327,26.811099654916,8,"UC + div",17.4856542330039,22.8440890919475,11269
"S3 line per se",800,80,0.317647982291667,0.302067916666667,4.90482121516966,41.2782813462863,8,"UC + div",17.4856542330039,22.8440890919475,11269
"S4 hybrid mining",1600,200,0.301547410291667,0.2901135625,3.79172475087992,31.9106189987977,8,"UC + div",17.4856542330039,22.8440890919475,11269
