"set","sigma_DH","MRD","n_seg"
"within-pool (A x A)",4.77127671792886,0.567230112035671,1287
"within-pool (A x A)",4.26131861749213,0.569429539100318,1297
"within-pool (A x A)",4.77045022661385,0.554526825320471,1230
"within-pool (A x A)",3.95306531704423,0.551815186452856,1218
"within-pool (A x A)",4.85876799711229,0.562805472610208,1267
"within-pool (A x A)",5.09760556378508,0.573149195236284,1314
"within-pool (A x A)",5.06526495160702,0.56811090466563,1291
"within-pool (A x A)",4.87688207692729,0.562583327161408,1266
"within-pool (A x A)",4.69323906229404,0.564800849857718,1276
"within-pool (A x A)",4.53993408706651,0.565906352676837,1281
"within-pool (A x A)",4.71679463585915,0.565464410904878,1279
"within-pool (A x A)",4.40494249898636,0.565464410904877,1279
"within-pool (A x A)",4.65996544496857,0.565685424949238,1280
"within-pool (A x A)",4.96737146337482,0.566347949585765,1283
"within-pool (A x A)",5.00833752753122,0.570964096944808,1304
"within-pool (A x A)",5.26732801284932,0.565022123460666,1277
"within-pool (A x A)",4.6176086344078,0.55879334283794,1249
"within-pool (A x A)",4.02243553472764,0.568990333837052,1295
"within-pool (A x A)",4.42491308169974,0.570087712549569,1300
"within-pool (A x A)",4.51263023321151,0.558345771005745,1247
"within-pool (A x A)",4.54793503526243,0.567009700093393,1286
"within-pool (A x A)",4.646086862621,0.564800849857718,1276
"within-pool (A x A)",4.17175641830714,0.5623610939601,1265
"within-pool (A x A)",4.43741651163707,0.55879334283794,1249
"within-pool (A x A)",4.64348878404464,0.570306934904355,1301
"within-pool (A x A)",4.45428408927226,0.566347949585765,1283
"within-pool (A x A)",4.99514393990139,0.558121850495033,1246
"within-pool (A x A)",4.50001536190889,0.563693178954651,1271
"within-pool (A x A)",4.0711121018374,0.556551884373775,1239
"within-pool (A x A)",4.52842265066697,0.565464410904878,1279
"within-pool (A x A)",4.85781851382121,0.565243310442503,1278
"within-pool (A x A)",4.48556357083911,0.561248608016091,1260
"within-pool (A x A)",4.52615576341071,0.567890834580027,1290
"within-pool (A x A)",4.85618622566791,0.560133912560202,1255
"within-pool (A x A)",4.5419068312566,0.571839138219832,1308
"within-pool (A x A)",4.99130741474973,0.554301362076624,1229
"within-pool (A x A)",4.39012953814501,0.568330889535313,1292
"within-pool (A x A)",4.39525891888886,0.559464029227974,1252
"within-pool (A x A)",4.87199178240154,0.55879334283794,1249
"within-pool (A x A)",4.86589899768549,0.570526073023837,1302
"within-pool (A x A)",4.17643230199886,0.562805472610208,1267
"within-pool (A x A)",5.12385496993101,0.574891294072192,1322
"within-pool (A x A)",5.08986020244399,0.563693178954651,1271
"within-pool (A x A)",4.7589432320346,0.573149195236284,1314
"within-pool (A x A)",4.72264688436588,0.574456264653804,1320
"within-pool (A x A)",4.49622139470567,0.570526073023836,1302
"within-pool (A x A)",4.63015826660494,0.565685424949238,1280
"within-pool (A x A)",4.44497028347415,0.558121850495033,1246
"within-pool (A x A)",4.51490072887891,0.577927331071996,1336
"within-pool (A x A)",4.34420254025304,0.567890834580027,1290
"within-pool (A x A)",4.92614269658542,0.562583327161408,1266
"within-pool (A x A)",4.34209701314233,0.562805472610208,1267
"within-pool (A x A)",5.08295040796895,0.560133912560202,1255
"within-pool (A x A)",4.16339936723656,0.561693866799345,1262
"within-pool (A x A)",4.73657431653603,0.563471383479233,1270
"within-pool (A x A)",4.40191850158866,0.557449549286749,1243
"within-pool (A x A)",4.68417418478041,0.561471281545192,1261
"within-pool (A x A)",5.10109948830617,0.56457948953181,1275
"within-pool (A x A)",4.54065114370976,0.570526073023837,1302
"within-pool (A x A)",4.97416550471986,0.566127194188727,1282
"within-pool (A x A)",4.58360308264057,0.56457948953181,1275
"within-pool (A x A)",4.95174910680344,0.566789202437732,1285
"within-pool (A x A)",4.89148988116717,0.571182982939793,1305
"within-pool (A x A)",5.1128288285088,0.569209978830308,1296
"within-pool (A x A)",4.18337641041888,0.570745127005041,1303
"within-pool (A x A)",4.66969358450035,0.563914887194867,1272
"within-pool (A x A)",4.50962364218742,0.563693178954651,1271
"within-pool (A x A)",4.24036217820542,0.563471383479232,1270
"within-pool (A x A)",4.41124683964938,0.563249500665557,1269
"within-pool (A x A)",4.82830123588695,0.570306934904355,1301
"within-pool (A x A)",4.69963270964502,0.55744954928675,1243
"within-pool (A x A)",4.0484304370037,0.563693178954652,1271
"within-pool (A x A)",4.27215000642286,0.556327241828045,1238
"within-pool (A x A)",4.57473581665818,0.55385016024192,1227
"within-pool (A x A)",4.59285362384922,0.563914887194867,1272
"within-pool (A x A)",4.68025200096835,0.560580056726959,1257
"within-pool (A x A)",4.42055388915086,0.554301362076624,1229
"within-pool (A x A)",4.35114816065551,0.556551884373775,1239
"within-pool (A x A)",4.88101760545461,0.572494541458693,1311
"within-pool (A x A)",4.39849942816568,0.555427763079952,1234
"within-pool (A x A)",4.59104898542193,0.551361950083609,1216
"within-pool (A x A)",4.94255797483744,0.562138772902208,1264
"within-pool (A x A)",4.52130464108594,0.574891294072192,1322
"within-pool (A x A)",4.14460229442175,0.56302753041037,1268
"within-pool (A x A)",4.29392379670832,0.568330889535313,1292
"within-pool (A x A)",4.41345237387263,0.562583327161408,1266
