"set","sigma_DH","MRD","n_seg"
"within-pool (A x A)",5.43270319305629,0.560133912560202,1255
"within-pool (A x A)",4.48181930388666,0.565022123460666,1277
"within-pool (A x A)",4.51926021138847,0.558121850495033,1246
"within-pool (A x A)",4.575474181252,0.567670679179399,1289
"within-pool (A x A)",5.14252363844593,0.570306934904355,1301
"within-pool (A x A)",4.99730431904049,0.55744954928675,1243
"within-pool (A x A)",4.5189918329647,0.557673739743948,1244
"within-pool (A x A)",4.88764788592021,0.557673739743948,1244
"within-pool (A x A)",4.97311557614632,0.564358042380898,1274
"within-pool (A x A)",4.74124116879238,0.564579489531811,1275
"within-pool (A x A)",4.5343259503759,0.559910707166777,1254
"within-pool (A x A)",4.85684634188824,0.558793342837941,1249
"within-pool (A x A)",4.54490390473629,0.560357029044876,1256
"within-pool (A x A)",4.42527587645407,0.568770604022395,1294
"within-pool (A x A)",4.65713440392555,0.557897840110535,1245
"within-pool (A x A)",4.8696205377043,0.561693866799345,1262
"within-pool (A x A)",5.00822299557977,0.563471383479232,1270
"within-pool (A x A)",4.50015979253733,0.56302753041037,1268
"within-pool (A x A)",4.87187169683248,0.564136508302733,1273
"within-pool (A x A)",4.38600828112282,0.556551884373775,1239
"within-pool (A x A)",4.91628701091048,0.5623610939601,1265
"within-pool (A x A)",4.72678054702224,0.557897840110535,1245
"within-pool (A x A)",5.16453388156435,0.567230112035671,1287
"within-pool (A x A)",4.81151887157643,0.559016994374947,1250
"within-pool (A x A)",4.4994773255767,0.551815186452856,1218
"within-pool (A x A)",4.15918009377464,0.554075807087803,1228
"within-pool (A x A)",4.7548019380183,0.56302753041037,1268
"within-pool (A x A)",4.85921286047717,0.563471383479232,1270
"within-pool (A x A)",4.89686377511203,0.561471281545192,1261
"within-pool (A x A)",4.38233906722327,0.556102508535971,1237
"within-pool (A x A)",4.54900809081402,0.573149195236284,1314
"within-pool (A x A)",4.79402640276036,0.57835974963685,1338
"within-pool (A x A)",4.6004876649723,0.556102508535971,1237
"within-pool (A x A)",5.04326921150527,0.576194411635517,1328
"within-pool (A x A)",4.49636414673934,0.56302753041037,1268
"within-pool (A x A)",4.58013463463046,0.560133912560203,1255
"within-pool (A x A)",4.530841709192,0.563249500665557,1269
"within-pool (A x A)",4.57748812606458,0.561916363883452,1263
"within-pool (A x A)",4.86543541128935,0.564358042380898,1274
"within-pool (A x A)",5.07747709366089,0.564358042380898,1274
"within-pool (A x A)",4.55741874183514,0.562805472610208,1267
"within-pool (A x A)",4.63310752975873,0.567009700093393,1286
"within-pool (A x A)",4.68952335464535,0.565685424949238,1280
"within-pool (A x A)",4.80740413759873,0.558569601750758,1248
"within-pool (A x A)",4.56281800271452,0.544058820349418,1184
"within-pool (A x A)",4.04440301682102,0.555877684387492,1236
"within-pool (A x A)",4.77816076596199,0.554526825320471,1230
"within-pool (A x A)",4.8685390655967,0.560580056726958,1257
"within-pool (A x A)",4.64995465849132,0.562583327161408,1266
"within-pool (A x A)",4.19256759520279,0.559687412758229,1253
"within-pool (A x A)",4.76102833018429,0.567009700093393,1286
"within-pool (A x A)",4.22410071225492,0.570087712549569,1300
"within-pool (A x A)",4.77225186957309,0.565464410904878,1279
"within-pool (A x A)",4.86519039805227,0.558121850495033,1246
"within-pool (A x A)",4.7724707741783,0.561248608016091,1260
"within-pool (A x A)",4.26605444273089,0.558345771005745,1247
"within-pool (A x A)",4.34256943155076,0.562583327161408,1266
"within-pool (A x A)",4.29034681806643,0.577494588719236,1334
"within-pool (A x A)",4.41116168923572,0.566789202437732,1285
"within-pool (A x A)",4.692045610107,0.556327241828045,1238
"within-pool (A x A)",4.64383176976267,0.564136508302734,1273
"within-pool (A x A)",4.0671196122458,0.553850160241919,1227
"within-pool (A x A)",4.61560740182328,0.561025846106933,1259
"within-pool (A x A)",4.58271885620612,0.564136508302733,1273
"within-pool (A x A)",4.87829458031095,0.568330889535313,1292
"within-pool (A x A)",4.41839817126485,0.565022123460666,1277
"within-pool (A x A)",4.13006561922622,0.551588614820865,1217
"within-pool (A x A)",4.26260210665956,0.570306934904355,1301
"within-pool (A x A)",4.45187938354009,0.561248608016091,1260
"within-pool (A x A)",4.58366288739228,0.557897840110535,1245
"within-pool (A x A)",4.75793892706906,0.567890834580027,1290
"within-pool (A x A)",4.90106661536727,0.557673739743948,1244
"within-pool (A x A)",4.77415313697883,0.575325994545701,1324
"within-pool (A x A)",4.67090538113227,0.570306934904355,1301
"within-pool (A x A)",4.43047099997059,0.562805472610208,1267
"within-pool (A x A)",4.65802679807554,0.565906352676836,1281
"within-pool (A x A)",4.52800820735196,0.556776436283002,1240
"within-pool (A x A)",4.3551868085909,0.564800849857718,1276
"within-pool (A x A)",4.94994975839619,0.564800849857718,1276
"within-pool (A x A)",4.67583719466006,0.567009700093393,1286
"within-pool (A x A)",4.50820341954621,0.565464410904878,1279
"within-pool (A x A)",4.54039036924877,0.563471383479233,1270
"within-pool (A x A)",4.74879430904906,0.554752196931206,1231
"within-pool (A x A)",5.03952179014783,0.557673739743948,1244
"within-pool (A x A)",4.90426219030807,0.564579489531811,1275
"within-pool (A x A)",4.65339867316326,0.564579489531811,1275
"within-pool (A x A)",4.52581637806394,0.559687412758229,1253
"within-pool (A x A)",4.76471612413929,0.555427763079953,1234
"within-pool (A x A)",4.49913044353128,0.560357029044876,1256
"within-pool (A x A)",4.9130931492149,0.574673820527784,1321
"within-pool (A x A)",4.35268527188154,0.565906352676837,1281
"within-pool (A x A)",4.85942492473898,0.565243310442503,1278
"within-pool (A x A)",4.21520639583157,0.565685424949238,1280
"within-pool (A x A)",4.78959111758366,0.565243310442503,1278
"within-pool (A x A)",4.94973681899487,0.572712842531054,1312
"within-pool (A x A)",4.63988360818699,0.567890834580027,1290
"within-pool (A x A)",4.1883733029719,0.560580056726958,1257
"within-pool (A x A)",5.03358763688642,0.562583327161408,1266
"within-pool (A x A)",4.60293185324843,0.565243310442503,1278
"within-pool (A x A)",4.51733621238944,0.563471383479232,1270
"within-pool (A x A)",4.66288840405916,0.573585215987999,1316
"within-pool (A x A)",4.55011359485756,0.569209978830308,1296
"within-pool (A x A)",4.43129238562868,0.567009700093393,1286
"within-pool (A x A)",4.2701633720601,0.556102508535971,1237
"within-pool (A x A)",4.91161435682337,0.571401785086466,1306
"within-pool (A x A)",4.73942694106043,0.565022123460666,1277
"within-pool (A x A)",4.58243624288797,0.556327241828045,1238
"within-pool (A x A)",4.59733154118786,0.559687412758229,1253
"within-pool (A x A)",4.70562205223242,0.561471281545192,1261
"within-pool (A x A)",3.89259868417725,0.549317758678891,1207
"within-pool (A x A)",4.72539849372268,0.571620503481112,1307
"within-pool (A x A)",4.42752674988066,0.56811090466563,1291
"within-pool (A x A)",4.63438357253476,0.552720544217419,1222
"within-pool (A x A)",4.96038621820848,0.571839138219832,1308
"within-pool (A x A)",4.10436574449556,0.561025846106933,1259
"within-pool (A x A)",4.24828053877973,0.561916363883452,1263
"within-pool (A x A)",4.34161880614286,0.554977477020464,1232
"within-pool (A x A)",4.72786033533008,0.560133912560202,1255
"within-pool (A x A)",4.292049452307,0.567009700093393,1286
"within-pool (A x A)",4.68949366380411,0.568550789287993,1293
"within-pool (A x A)",4.47209665622353,0.565906352676837,1281
"within-pool (A x A)",4.78087836958751,0.560357029044876,1256
"within-pool (A x A)",4.83766297219208,0.56302753041037,1268
"within-pool (A x A)",4.05247233358346,0.563914887194867,1272
"within-pool (A x A)",4.88640525412417,0.5623610939601,1265
"within-pool (A x A)",4.77553817181809,0.558121850495033,1246
"within-pool (A x A)",4.60608307330674,0.557673739743948,1244
"within-pool (A x A)",4.66991592221977,0.558345771005745,1247
"within-pool (A x A)",5.17434954145293,0.564800849857718,1276
"within-pool (A x A)",4.75571120229672,0.564136508302733,1273
"within-pool (A x A)",4.64574041205839,0.561693866799345,1262
"within-pool (A x A)",4.81022753845373,0.558793342837941,1249
"within-pool (A x A)",4.09861303999914,0.559016994374947,1250
"within-pool (A x A)",4.60005006775182,0.562138772902208,1264
"within-pool (A x A)",4.89808577843905,0.567009700093393,1286
"within-pool (A x A)",4.63897023694678,0.564358042380898,1274
"within-pool (A x A)",4.87251177356555,0.566347949585765,1283
"within-pool (A x A)",4.58084830063116,0.569209978830308,1296
"within-pool (A x A)",4.63483675044518,0.560580056726959,1257
"within-pool (A x A)",4.79797571738216,0.575108685380425,1323
"within-pool (A x A)",4.87368264587272,0.567450438364445,1288
"within-pool (A x A)",4.75611056248265,0.571620503481112,1307
"within-pool (A x A)",5.12422165736936,0.566789202437732,1285
"within-pool (A x A)",4.83082048345529,0.565906352676837,1281
"within-pool (A x A)",4.64460115572948,0.565685424949238,1280
"within-pool (A x A)",4.78599639542152,0.561916363883452,1263
"within-pool (A x A)",4.63078300125696,0.562805472610208,1267
"within-pool (A x A)",4.20808540440413,0.577927331071996,1336
"within-pool (A x A)",4.48000988724673,0.550454357780915,1212
