"strategy","theta","gene_diversity","loss_pct","status_number","Ne_parents","n_lines_used","He_Nei","alleles_retained","alleles_lost_MAF","alleles_fixed","E_NE","A_NE","eff_dim","theta_within_A","theta_within_B","theta_between","mean_index"
"random",0.667255601851852,0.332744398148148,-0.00494997981316706,0.749338032700418,50.7042253521127,66,0.332744398148148,11828,92,172,0.262773611111111,0.2588303125,1.4964677313984,0.701863518518518,0.699748703703704,0.633705092592593,-0.264899030930413
"random",0.667512939814815,0.332487060185185,0.0723918785539084,0.749049149726914,46.7532467532468,61,0.332487060185185,11817,105,183,0.2644125,0.26062640625,1.49446648698528,0.700958796296296,0.702175925925926,0.633458518518519,-0.164480999064255
"random",0.6672425,0.3327575,-0.008887687093504,0.749352746565154,52.9411764705882,67,0.3327575,11841,93,159,0.261380555555556,0.258121822916667,1.49891648878049,0.699884166666667,0.700811018518519,0.634137407407407,0.0887635234808969
"random",0.666959791666667,0.333040208333333,-0.0938545051412955,0.749670379305099,51.4285714285714,65,0.333040208333333,11829,97,171,0.262038888888889,0.259343541666667,1.49631967358089,0.701428611111111,0.699888333333333,0.633261111111111,0.216442588639696
"random",0.66827849537037,0.33172150462963,0.302476428335019,0.748191066245357,45.5696202531646,60,0.33172150462963,11821,127,179,0.261351388888889,0.261103541666667,1.493114276666,0.702437592592593,0.702459907407407,0.634108240740741,-0.155682746453122
"random",0.666927060185185,0.333072939814815,-0.103691816262212,0.749707171667566,47.682119205298,60,0.333072939814815,11828,104,172,0.260995833333333,0.261285989583333,1.49612074788819,0.701424722222223,0.701100925925926,0.632591296296296,-0.125405236867359
"random",0.667396574074074,0.332603425925926,0.0374186373906799,0.749179752224058,48.6486486486486,64,0.332603425925926,11827,109,173,0.264845833333333,0.259978125,1.49381760312946,0.700843055555555,0.701581388888889,0.633580925925926,0.0828493486031024
"random",0.666937685185185,0.333062314814815,-0.100498516541873,0.749695228064924,51.4285714285714,63,0.333062314814815,11830,98,170,0.263748611111111,0.260162291666667,1.49651118415479,0.701731666666667,0.700016481481481,0.633001296296296,-0.149468852620564
"random",0.666968796296296,0.333031203703704,-0.0911482010210212,0.749660258135792,47.3684210526316,61,0.333031203703704,11825,104,175,0.264905555555556,0.2609640625,1.49560291052908,0.701112777777778,0.701232407407408,0.632765,0.165391603564369
"random",0.667050925925926,0.332949074074074,-0.0664644811787955,0.749567957357912,48,65,0.332949074074074,11840,84,160,0.265580555555556,0.2592465625,1.4973657697634,0.700965462962963,0.700819722222222,0.633209259259259,-0.208247287502227
"random",0.66768837962963,0.33231162037037,0.125119587878748,0.748852331797886,49.6551724137931,64,0.33231162037037,11833,98,167,0.268519444444444,0.259258385416667,1.49605843831816,0.701038796296296,0.701353240740741,0.634180740740741,0.198507272770947
"random",0.667334236111111,0.332665763888889,0.0186832209489971,0.749249735655328,51.7985611510791,65,0.332665763888889,11835,115,165,0.262984722222222,0.259142239583333,1.49597671091319,0.701359166666667,0.700247777777778,0.633865,-0.0609275841425465
"random",0.667604537037037,0.332395462962963,0.0999210441164888,0.748946378074511,45.2830188679245,61,0.332395462962963,11818,127,182,0.264348611111111,0.26092828125,1.49369130701822,0.700967962962963,0.70288537037037,0.633282407407407,0.0194653840477488
"random",0.667477291666667,0.332522708333333,0.0616779753529556,0.749089154406314,48.3221476510067,65,0.332522708333333,11837,95,163,0.266193055555556,0.259023385416667,1.49686889611352,0.701985277777778,0.700037222222222,0.633943333333333,-0.131623073795992
"random",0.667197638888889,0.332802361111111,-0.022370508134779,0.749403131630787,44.7204968944099,60,0.332802361111111,11811,124,189,0.263119444444444,0.261635625,1.49281531856209,0.701120462962963,0.703149537037037,0.632260277777778,0.0390018240151285
"random",0.666953726851852,0.333046273148148,-0.0956772601014913,0.749677196287807,53.7313432835821,65,0.333046273148148,11829,81,171,0.262130555555556,0.259268177083333,1.49746064223527,0.699656666666667,0.7006225,0.63376787037037,0.124118156493848
"random",0.667793078703704,0.332206921296296,0.156586460721666,0.748734923953663,48.3221476510067,60,0.332206921296296,11821,95,179,0.262481944444444,0.260971822916667,1.49473422045096,0.702499444444445,0.700801759259259,0.633935555555556,0.198604732847146
"random",0.667099768518519,0.332900231481481,-0.0517850423774363,0.74951307674771,52.5547445255474,66,0.332900231481482,11833,91,167,0.264854166666667,0.258569427083333,1.49849083231371,0.701095648148148,0.699405648148148,0.633948888888889,-0.00564587393025904
"random",0.668091805555555,0.331908194444445,0.246367578129864,0.748400138786648,45.2830188679245,62,0.331908194444444,11831,122,169,0.267138888888889,0.26036796875,1.49054244342493,0.699587222222222,0.705565185185185,0.633607407407407,0.0161396244380446
"random",0.665777800925926,0.334222199074074,-0.449096924133889,0.751001309002235,54.5454545454545,65,0.334222199074074,11824,83,176,0.262227777777778,0.259266875,1.50263029445471,0.698339722222222,0.699365740740741,0.63270287037037,-0.148603716829575
"random",0.668451319444444,0.331548680555556,0.354417987619774,0.747997625938646,46.1538461538462,60,0.331548680555556,11811,114,189,0.261158333333333,0.260646614583333,1.49374927708161,0.701666851851852,0.702775648148148,0.634681388888889,0.137856724488869
"random",0.667097870370371,0.332902129629629,-0.0523555229374423,0.749515209398587,49.6551724137931,63,0.33290212962963,11831,104,169,0.262780555555556,0.25960453125,1.49880571866776,0.700555648148148,0.701294722222222,0.633270555555556,0.290065045382342
"random",0.667026898148148,0.332973101851852,-0.0736859302194218,0.749594958446412,48.3221476510067,62,0.332973101851852,11825,98,175,0.262013888888889,0.260129166666667,1.49681449849069,0.700717314814815,0.701460462962963,0.632964907407407,-0.186687799028213
"random",0.66742412037037,0.33257587962963,0.0456975625914768,0.749148831664246,51.7985611510791,62,0.33257587962963,11823,96,177,0.262481944444444,0.260247395833333,1.49463998754476,0.703113240740741,0.699055092592593,0.633764074074074,0.201133826255686
"random",0.66779162037037,0.33220837962963,0.156148164681631,0.748736559052194,54.1353383458647,65,0.33220837962963,11839,99,161,0.2614625,0.2589884375,1.49591092392957,0.700516574074074,0.701138425925926,0.634755740740741,0.201218053671147
